location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2099180,"La Matanza, Buenos Aires",pm1,19.740079164505005,µg/m³,2025-03-22T19:00:00Z,2025-03-22T16:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,22.65932575861613,µg/m³,2025-03-22T20:00:00Z,2025-03-22T17:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,23.79555527369181,µg/m³,2025-03-22T21:00:00Z,2025-03-22T18:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,25.626190821329757,µg/m³,2025-03-22T22:00:00Z,2025-03-22T19:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,29.34970251719157,µg/m³,2025-03-22T23:00:00Z,2025-03-22T20:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,26.125297387441,µg/m³,2025-03-23T00:00:00Z,2025-03-22T21:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,6.022619088490804,µg/m³,2025-03-23T01:00:00Z,2025-03-22T22:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,7.306398828824361,µg/m³,2025-03-23T02:00:00Z,2025-03-22T23:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,6.0725694100062055,µg/m³,2025-03-23T03:00:00Z,2025-03-23T00:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.6078868905703225,µg/m³,2025-03-23T04:00:00Z,2025-03-23T01:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,1.988839288552602,µg/m³,2025-03-23T05:00:00Z,2025-03-23T02:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,1.939285695552826,µg/m³,2025-03-23T06:00:00Z,2025-03-23T03:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,2.9848214189211526,µg/m³,2025-03-23T07:00:00Z,2025-03-23T04:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,3.8415178457895913,µg/m³,2025-03-23T08:00:00Z,2025-03-23T05:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
2099180,"La Matanza, Buenos Aires",pm1,4.398660759131114,µg/m³,2025-03-23T09:00:00Z,2025-03-23T06:00:00-03:00,America/Argentina/Buenos_Aires,-34.88106631929777,-58.68288039022074,,,,Unknown Person,AirGradient
